strategy_a,strategy_b,metric,hypothesis_group,wilcoxon_W,z_score,effect_size_r,p_value,bonferroni_alpha,significant
fixed,sentence,precision_at_5,retrieval,,,,,0.002777777777777778,False
fixed,semantic,precision_at_5,retrieval,3.0,-1.8593393604027364,0.7027642214999339,0.05320552981158749,0.002777777777777778,False
fixed,topic,precision_at_5,retrieval,7.5,-0.628970902033151,0.2567762955065478,0.5176341185833455,0.002777777777777778,False
sentence,semantic,precision_at_5,retrieval,4.0,-1.9603921176392136,0.693103280083672,0.034808478811867126,0.002777777777777778,False
sentence,topic,precision_at_5,retrieval,14.0,-0.5601120336112039,0.19802950859533483,0.5580088344574561,0.002777777777777778,False
semantic,topic,precision_at_5,retrieval,1.0,-1.7529196424044293,0.7839294959021853,0.07414989773822228,0.002777777777777778,False
fixed,sentence,recall_at_5,retrieval,,,,,0.002777777777777778,False
fixed,semantic,recall_at_5,retrieval,3.0,-1.2135597524338357,0.5427204202399745,0.17971249487899976,0.002777777777777778,False
fixed,topic,recall_at_5,retrieval,,,,,0.002777777777777778,False
sentence,semantic,recall_at_5,retrieval,3.5,-1.4675987714106857,0.5991446895152782,0.10247043485974945,0.002777777777777778,False
sentence,topic,recall_at_5,retrieval,7.0,-0.7337993857053429,0.2995723447576391,0.4142161782425253,0.002777777777777778,False
semantic,topic,recall_at_5,retrieval,,,,,0.002777777777777778,False
fixed,sentence,mrr,retrieval,5.5,-1.0482848367219184,0.427960492510913,0.29184054514378843,0.002777777777777778,False
fixed,semantic,mrr,retrieval,6.0,-0.9434563530497265,0.3851644432598217,0.34411849613531187,0.002777777777777778,False
fixed,topic,mrr,retrieval,3.5,-1.4675987714106857,0.5991446895152782,0.1400165031971689,0.002777777777777778,False
sentence,semantic,mrr,retrieval,7.0,-1.1832159566199232,0.4472135954999579,0.2333557002508232,0.002777777777777778,False
sentence,topic,mrr,retrieval,11.5,-0.4225771273642583,0.15971914124998496,0.6669545286928193,0.002777777777777778,False
semantic,topic,mrr,retrieval,,,,,0.002777777777777778,False
fixed,sentence,context_tokens,efficiency,7.0,-4.638160524528621,0.8468083815381062,3.5390257835388184e-08,0.008333333333333333,True
fixed,semantic,context_tokens,efficiency,0.0,-4.782138900012879,0.8730951162199987,1.862645149230957e-09,0.008333333333333333,True
fixed,topic,context_tokens,efficiency,0.0,-4.782138900012879,0.8730951162199987,1.862645149230957e-09,0.008333333333333333,True
sentence,semantic,context_tokens,efficiency,0.0,-4.782138900012879,0.8730951162199987,1.862645149230957e-09,0.008333333333333333,True
sentence,topic,context_tokens,efficiency,0.0,-4.782138900012879,0.8730951162199987,1.862645149230957e-09,0.008333333333333333,True
semantic,topic,context_tokens,efficiency,9.0,-4.597023845818833,0.8392978859147086,6.146728992462158e-08,0.008333333333333333,True
