strategy,question_id,retrieved_chunks,context_tokens,context_characters
fixed,4,5,1449,6537
fixed,6,5,1350,6447
fixed,9,5,1395,6638
fixed,10,5,1350,6151
fixed,12,5,1353,5615
fixed,14,5,1330,6427
fixed,15,5,1417,6504
fixed,25,5,1344,5934
fixed,27,5,1354,6153
fixed,28,5,1140,4239
fixed,31,5,1418,6523
fixed,35,5,1380,6296
fixed,37,5,1309,5971
fixed,41,5,1445,6656
fixed,44,5,1374,6101
fixed,47,5,1388,6493
fixed,52,5,1372,6537
fixed,55,5,1396,6455
fixed,60,5,1356,6530
fixed,61,5,1290,5930
fixed,62,5,1339,6331
fixed,63,5,1370,6326
fixed,70,5,1328,6594
fixed,75,5,1348,6891
fixed,76,5,1373,6772
fixed,77,5,1310,6094
fixed,85,5,1423,6313
fixed,88,5,1401,6466
fixed,91,5,1342,6669
fixed,93,5,1290,7144
sentence,4,5,1270,6097
sentence,6,5,1223,6007
sentence,9,5,1252,5774
sentence,10,5,1226,5696
sentence,12,5,1174,5022
sentence,14,5,1214,5904
sentence,15,5,1247,5778
sentence,25,5,1174,4966
sentence,27,5,1226,5444
sentence,28,5,1256,5451
sentence,31,5,1259,6185
sentence,35,5,1181,5905
sentence,37,5,1088,4662
sentence,41,5,1197,5991
sentence,44,5,1261,5524
sentence,47,5,1262,6217
sentence,52,5,1265,6118
sentence,55,5,1325,6436
sentence,60,5,1180,5819
sentence,61,5,1038,5118
sentence,62,5,1149,5635
sentence,63,5,1233,6004
sentence,70,5,1218,6169
sentence,75,5,1232,6414
sentence,76,5,1273,6249
sentence,77,5,1185,5881
sentence,85,5,1306,5858
sentence,88,5,1224,5886
sentence,91,5,1202,6140
sentence,93,5,1159,6231
semantic,4,5,608,3054
semantic,6,5,574,2880
semantic,9,5,565,2662
semantic,10,5,595,2783
semantic,12,5,593,2560
semantic,14,5,635,3073
semantic,15,5,622,2835
semantic,25,5,555,2623
semantic,27,5,610,2932
semantic,28,5,622,2222
semantic,31,5,560,2830
semantic,35,5,558,2617
semantic,37,5,568,2576
semantic,41,5,550,2753
semantic,44,5,511,2232
semantic,47,5,582,2829
semantic,52,5,585,3008
semantic,55,5,523,2466
semantic,60,5,626,3130
semantic,61,5,626,2792
semantic,62,5,545,2891
semantic,63,5,561,2712
semantic,70,5,562,2866
semantic,75,5,546,2866
semantic,76,5,542,2588
semantic,77,5,571,2821
semantic,85,5,572,2483
semantic,88,5,563,2696
semantic,91,5,528,2621
semantic,93,5,523,2840
topic,4,5,646,3271
topic,6,5,789,3985
topic,9,5,857,4114
topic,10,5,729,3340
topic,12,5,862,3515
topic,14,5,802,3890
topic,15,5,798,3762
topic,25,5,1027,4432
topic,27,5,1048,4911
topic,28,5,943,3767
topic,31,5,747,3670
topic,35,5,649,3071
topic,37,5,546,2385
topic,41,5,827,4215
topic,44,5,850,3938
topic,47,5,1121,5338
topic,52,5,926,4703
topic,55,5,994,4669
topic,60,5,628,3325
topic,61,5,599,2743
topic,62,5,867,4589
topic,63,5,755,3574
topic,70,5,600,3083
topic,75,5,891,4639
topic,76,5,688,3386
topic,77,5,558,2652
topic,85,5,791,3615
topic,88,5,783,3713
topic,91,5,778,3865
topic,93,5,852,4519
